Enemy 1,Enemy 2,Enemy 3,Enemy 4,Enemy 5,Enemy 6,Enemy 7,Enemy 8
-90.0,-80.0,-60.0,-90.0,43.60000000000029,-100,-90.0,-90.0
-70.0,-80.0,-90.0,-90.0,-40.0,-100,-50.0,-90.0
-50.0,-80.0,-80.0,-80.0,-30.0,-100,-80.0,-80.0
-80.0,-90.0,-90.0,-80.0,-20.0,-100,-90.0,-80.0
-70.0,-90.0,-80.0,-90.0,-11.199999999999768,-100,-50.0,-80.0
-70.0,-80.0,-60.0,-80.0,41.20000000000029,-100,-100,-80.0
-90.0,-100,-80.0,-80.0,3.600000000000229,-100,-90.0,-100
-80.0,-80.0,-90.0,-80.0,3.600000000000229,-100,-80.0,-100
-80.0,-100,-70.0,-90.0,9.000000000000234,-100,-60.0,-80.0
-90.0,-100,-50.0,-80.0,18.400000000000233,-100,-90.0,-100
