Generation,Avg_Scalar_Fitness,Max_Scalar_Fitness
0,2.6487,81.9001
1,20.9989,95.7926
2,32.4518,95.7926
3,44.4237,95.7926
4,49.7933,95.7926
5,59.3966,95.7926
6,62.1734,95.7926
7,55.2967,95.7926
8,59.7973,95.7926
9,61.1777,96.5632
10,46.4277,96.5632
11,34.6722,96.5632
12,16.8061,96.5632
13,9.6684,96.5632
14,11.2010,96.5632
15,13.9984,96.5632
16,19.9295,96.5632
17,34.6007,96.5632
18,58.9922,97.0471
19,76.1232,97.0471
20,76.0473,97.0471
21,76.0873,97.0472
22,76.7605,97.0472
23,79.8778,97.0472
24,83.7102,97.0472
25,77.0863,97.0472
26,79.5766,97.0472
27,77.2943,97.0472
28,79.6552,97.0472
29,76.3930,97.0472
30,81.0250,97.0472
31,78.5826,97.0472
32,80.9538,97.0472
33,80.9382,97.0472
34,81.0271,97.0472
35,80.5487,97.0472
36,80.3894,97.0472
37,80.3913,97.0472
38,80.0707,97.0472
39,80.0546,97.0472
40,80.4496,97.0472
41,80.5577,97.0472
42,80.5365,97.0472
43,80.6036,97.0472
44,80.5316,97.0472
45,80.5499,97.0472
46,80.6039,97.0472
47,80.6723,97.0472
48,80.6453,98.9146
49,80.8915,98.9146
50,80.7869,98.9146
51,80.8804,98.9146
52,79.6781,98.9146
53,78.5277,98.9146
54,75.3925,98.9146
55,70.1988,98.9146
56,67.1852,98.9146
57,70.4762,98.9146
58,79.4929,98.9146
59,76.2282,98.9146
60,78.9022,98.9146
61,77.2985,98.9146
62,74.8433,98.9166
63,71.6805,98.9166
64,71.8316,98.9166
65,65.6203,98.9166
66,61.5444,98.9166
67,70.7690,98.9166
68,73.1327,98.9166
69,81.0290,98.9166
70,80.8799,98.9166
71,80.6966,98.9166
72,80.4196,98.9166
73,80.6969,98.9166
74,80.1116,98.9166
75,79.3086,98.9166
76,77.1333,98.9166
77,75.9377,99.0730
78,74.9811,99.0730
79,68.8345,99.5592
80,70.7070,99.5592
81,69.5321,99.5592
82,79.1607,99.5592
83,78.5753,99.5592
84,78.1124,99.5592
85,76.5403,99.5592
86,77.4116,99.5592
87,78.5440,99.5592
88,72.1168,99.5995
89,73.9867,99.5995
90,78.3442,99.5995
91,82.1709,99.5995
92,82.0143,99.5995
93,81.9324,99.5995
94,81.6011,99.5995
95,81.8896,99.5995
96,82.3218,99.5995
97,82.3212,99.5995
98,82.2032,99.5995
99,79.8660,99.5995
100,77.8464,99.5995
101,77.0203,99.5995
102,78.5763,99.5995
103,75.7167,100.6402
104,71.4102,100.6402
105,71.9187,100.6402
106,70.0577,100.6402
107,65.0865,100.6402
108,69.8074,100.6402
109,73.1238,100.6402
110,73.2548,100.6402
111,74.7114,100.6402
112,78.6274,100.6402
113,78.9489,101.6563
114,82.8994,101.6563
115,88.7739,101.6563
116,84.5490,101.6563
117,85.3329,101.6563
118,85.2799,101.6563
119,85.2386,101.6563
120,83.5847,101.6563
121,81.4200,101.6563
122,79.1431,101.6563
123,78.4888,101.6563
124,75.4870,101.6563
125,77.2041,101.6563
126,77.2635,106.1323
127,75.7053,106.1323
128,75.7054,106.1323
129,75.7892,106.1323
130,77.4658,106.1323
131,80.9888,106.1323
132,78.4297,106.1323
133,77.8637,106.1323
134,82.7089,106.1323
135,77.6213,106.2963
136,73.4003,106.2963
137,63.4796,106.2963
138,61.4737,106.2963
139,61.9106,106.2963
140,nan,nan
141,80.9598,106.2963
142,81.6626,106.2963
143,79.1245,106.2963
144,76.6482,106.2963
145,73.1703,106.2963
146,75.4676,106.2963
147,73.8792,106.2963
148,83.0179,106.2963
149,86.2980,106.2963
150,87.2370,106.2963
151,82.4487,106.5234
152,76.7224,106.5234
153,81.7379,106.5234
154,84.2313,106.5234
155,81.1608,106.5234
156,77.3944,106.5234
157,73.5314,106.5234
158,75.2971,106.5234
159,78.9059,106.5234
160,82.8212,106.5234
161,83.3855,106.5234
162,86.1599,106.5234
163,86.1233,106.5234
164,86.1254,106.5234
165,86.1367,106.5234
166,86.2701,106.5234
167,86.3184,106.5234
168,86.2865,106.5234
169,86.1542,106.5234
170,86.1357,106.5234
171,86.1247,106.5234
172,85.9903,106.5234
173,85.7168,106.5234
174,86.1058,106.5234
175,84.5082,106.5234
176,85.2678,106.5234
177,85.9368,106.5234
178,87.9865,106.5234
179,75.0459,106.5248
180,85.3513,106.5248
181,88.0713,106.5248
182,88.5668,106.5248
183,89.9847,106.5248
184,88.7086,106.5248
185,85.1301,106.5266
186,78.2736,106.5266
187,74.0656,106.5266
188,74.1041,106.5266
189,79.6249,106.5266
190,88.3359,106.5266
191,89.7068,106.5266
192,90.6718,106.5266
193,96.4673,106.5266
194,98.3050,106.5534
195,97.7725,106.5534
196,97.2805,106.5534
197,98.0321,106.5534
198,94.3231,106.5534
199,88.1838,106.5534
