Generation,Avg_Scalar_Fitness,Max_Scalar_Fitness
0,nan,nan
1,24.9033,87.4955
2,43.9826,87.4955
3,53.3010,87.4955
4,55.8428,87.4955
5,57.3816,87.4955
6,62.5693,87.4955
7,59.4017,88.5517
8,60.4380,91.9607
9,73.8025,91.9607
10,72.1795,92.7150
11,69.0340,92.7150
12,67.9819,95.2827
13,65.9573,95.2827
14,62.0949,95.2827
15,55.7171,95.2827
16,43.3821,100.2680
17,22.2544,100.2680
18,25.9335,100.2680
19,15.3867,100.2680
20,15.9628,100.2680
21,16.4342,100.2680
22,17.2571,100.2680
23,16.8820,100.2680
24,17.1246,100.2680
25,17.3630,100.2680
26,18.1623,100.2680
27,17.9093,100.2680
28,19.2441,100.2680
29,19.6278,100.2680
30,18.9915,100.2680
31,19.6651,101.5835
32,20.3291,101.5835
33,20.6819,101.5835
34,20.4909,101.5835
35,20.2042,101.5835
36,19.7688,101.5835
37,19.3505,101.5835
38,18.9930,101.5835
39,19.0382,101.5835
40,19.7515,101.5835
41,19.9311,101.5835
42,20.0495,101.5835
43,19.4790,101.5835
44,19.3015,101.5835
45,19.9197,101.5835
46,20.7077,101.5835
47,21.6932,101.5835
48,21.1653,101.5835
49,21.4597,101.5835
50,22.0975,101.5835
51,22.0760,101.5835
52,21.0340,101.5835
53,19.7172,101.5835
54,20.4002,101.5835
55,21.1284,101.5835
56,20.1154,101.5835
57,20.6166,101.5835
58,17.0081,101.5835
59,17.8329,101.5835
60,18.4740,101.5835
61,18.2749,101.5835
62,18.7533,101.5835
63,18.7963,101.5835
64,19.0408,101.5835
65,19.3155,101.5835
66,18.0413,101.5835
67,18.4781,101.5835
68,18.4423,101.5835
69,17.2458,101.5835
70,17.4788,101.5835
71,nan,nan
72,nan,nan
73,80.6861,101.5835
74,80.0116,101.5835
75,80.9489,101.5835
76,75.5200,107.5748
77,70.3943,107.5748
78,72.0352,107.5748
79,71.7198,107.5748
80,74.4817,107.5748
81,79.0868,107.5748
82,84.2735,107.5748
83,84.1614,107.5748
84,83.0579,107.5748
85,78.0346,107.5748
86,85.2677,107.5748
87,72.5810,108.5327
88,72.8024,108.5327
89,74.1062,108.5327
90,74.2401,108.5327
91,75.7035,108.5327
92,77.6660,108.5327
93,74.8452,108.5327
94,75.0038,108.5327
95,79.5271,108.5327
96,88.2773,108.5327
97,96.2207,108.5327
98,95.9053,108.5327
99,95.9136,108.5327
100,95.9195,108.5327
101,94.1144,108.5327
102,89.8200,109.2303
103,81.8209,109.2303
104,77.6839,109.2303
105,78.5469,109.2303
106,81.3733,109.2303
107,84.2625,109.2303
108,97.5272,109.2303
109,96.6448,109.2303
110,87.5655,109.9061
111,91.6051,109.9061
112,92.6030,109.9061
113,94.8237,109.9061
114,89.3679,109.9061
115,90.2574,113.7051
116,91.3010,113.7051
117,89.7882,113.7051
118,89.9926,113.7051
119,90.4795,113.7051
120,91.7818,113.7051
121,100.8304,113.7051
122,99.0503,113.7051
123,94.8761,113.7051
124,88.7120,113.7051
125,83.0534,114.7859
126,87.1388,114.7859
127,89.7862,114.7859
128,87.7613,114.7859
129,82.7311,115.5964
130,78.6556,115.5964
131,78.7430,115.5964
132,79.2221,115.5964
133,79.9268,115.5964
134,81.7455,115.5964
135,85.7781,115.5964
136,84.5078,115.6663
137,89.0297,115.6663
138,88.3311,115.6663
139,68.0429,116.4595
140,89.4455,116.4595
141,110.7124,116.4595
142,110.8342,116.4595
143,110.8342,116.4595
144,110.7128,116.4595
145,110.0232,116.4595
146,109.6888,116.4595
147,108.7000,116.4595
148,107.2911,116.4595
149,102.8385,116.4595
