Generation,Avg_Scalar_Fitness,Max_Scalar_Fitness
0,6.8600,74.2343
1,nan,nan
2,40.0622,74.2343
3,49.5690,91.1674
4,56.5015,91.1674
5,55.4852,91.1674
6,60.3354,91.1674
7,62.6287,91.1674
8,58.4321,91.1674
9,65.6534,91.1674
10,59.6329,91.1674
11,48.2545,91.1674
12,56.0037,91.1674
13,47.5776,91.1674
14,55.0925,91.1674
15,60.4273,91.1674
16,50.8614,91.1674
17,31.9372,91.1674
18,50.2202,91.1674
19,80.4291,91.8832
20,79.5557,91.8832
21,72.4885,91.8832
22,70.1113,91.8832
23,70.1712,94.1897
24,71.3372,94.1897
25,83.8963,94.1897
26,84.0094,94.1897
27,83.8227,94.1897
28,83.8230,94.1897
29,83.5631,94.1897
30,83.2256,94.1897
31,82.2484,94.1897
32,80.5664,94.1897
33,78.2407,94.1897
34,74.1717,94.1897
35,68.9064,94.1897
36,60.1242,94.1897
37,48.1623,94.1897
38,26.2393,94.1897
39,17.4686,94.1897
40,17.8777,94.1897
41,18.2650,94.1897
42,18.0295,94.2000
43,18.0689,94.2000
44,18.0700,97.0875
45,18.0442,97.0875
46,18.4939,97.0875
47,18.7414,97.0875
48,19.3319,97.0875
49,19.6901,97.0875
50,19.7358,97.0875
51,20.7462,97.0875
52,20.3491,97.0875
53,21.1000,97.0875
54,32.6001,97.0875
55,56.1838,97.0875
56,78.1072,97.0875
57,79.9709,97.0875
58,78.0699,97.0875
59,78.0148,97.0875
60,81.6442,97.0875
61,79.1041,97.0875
62,77.3494,97.0875
63,77.4023,97.0875
64,77.4571,97.0875
65,77.6215,97.0875
66,77.6761,97.0875
67,77.8563,97.0875
68,77.9817,97.0875
69,78.2071,97.0875
70,78.3791,97.0875
71,78.4319,98.3920
72,78.6527,98.3920
73,78.9336,98.3920
74,80.8922,99.4858
75,77.9024,99.4858
76,72.1186,99.4858
77,65.0605,99.4858
78,51.3080,101.1379
79,74.1962,101.1379
80,57.6872,101.1379
81,27.7485,101.1379
82,44.8147,101.1379
83,82.4795,101.1379
84,82.8819,101.1379
85,83.3394,101.1379
86,85.7241,101.1379
87,81.2353,101.1379
88,84.9872,101.1379
89,84.9984,101.1379
90,84.9398,101.1379
91,84.9189,101.1379
92,84.6870,101.1379
93,84.6567,101.1379
94,84.6667,101.1379
95,84.2766,107.1841
96,84.2658,107.1841
97,84.5437,107.1841
98,84.6665,107.1841
99,84.6246,107.1841
100,84.5415,107.1841
101,84.4097,118.5688
102,84.3720,118.5688
103,84.4144,118.5688
104,84.4094,118.5688
105,84.3858,118.5688
106,84.4286,118.5688
107,84.4170,118.5688
108,84.4618,118.5688
109,84.4372,118.5688
110,84.4264,118.5688
111,84.5684,118.5688
112,84.6106,118.5688
113,84.5545,118.5688
114,84.4675,118.5688
115,84.5910,118.5688
116,84.5152,118.5688
117,84.5152,118.5688
118,84.5574,118.5688
119,84.5276,118.5688
120,84.4760,118.5688
121,84.5262,118.5688
122,84.7956,118.5688
123,84.6481,118.5688
124,84.6481,118.5688
125,84.8295,118.5688
126,84.8500,118.5688
127,84.8568,118.5688
128,85.0523,118.5688
129,85.0634,118.5688
130,84.8764,118.5688
131,84.6931,118.5688
132,84.4209,118.5688
133,80.7077,118.5688
134,82.6000,118.5688
135,76.6871,118.5723
136,67.5254,118.5723
137,46.8929,118.5723
138,21.4525,118.5723
139,21.4525,118.5723
140,nan,nan
141,nan,nan
142,87.1516,118.5723
143,85.3058,118.5723
144,90.1932,118.5723
145,87.3901,118.5845
146,89.8192,118.5845
147,90.5786,118.5845
148,94.7727,118.5845
149,94.5355,118.5845
150,94.5380,118.5845
151,94.5049,118.5845
152,94.4964,118.5845
153,94.4431,118.5845
154,94.6159,118.5845
155,94.4858,118.5845
156,94.4466,118.5845
157,94.3074,118.5845
158,94.2736,118.5845
159,96.5116,118.5845
160,105.1694,118.5845
161,106.5438,118.5845
162,109.3085,118.5845
163,107.1048,118.5845
164,102.2546,118.5845
165,92.3371,118.5845
166,79.6056,118.5845
167,79.0924,118.5845
168,79.1418,118.5845
169,79.7283,118.5845
170,81.3875,118.5845
171,84.6536,118.5845
172,89.5339,118.5845
173,90.5829,118.5845
174,96.3544,118.5845
175,101.5952,118.5845
176,110.9093,118.5845
177,113.3450,118.5845
178,113.3542,118.5845
179,113.2810,118.5845
180,113.2138,118.5845
181,112.9909,118.5845
182,112.9909,118.5845
183,112.9909,118.5845
184,112.9181,118.5845
185,112.9181,118.5845
186,112.8448,118.5845
187,112.8448,118.5845
188,112.8448,118.5845
189,112.8448,118.5845
190,113.2048,118.5845
191,113.2048,118.5845
192,113.1438,118.5845
193,113.0828,118.5845
194,112.9609,118.5845
195,112.8985,118.5845
196,112.6995,118.5845
197,112.7647,118.5845
198,112.6566,118.5845
199,112.6109,118.5845
200,112.5485,118.5845
201,112.5649,118.5845
202,112.5467,118.5845
203,112.4766,118.5845
204,112.4739,118.5845
205,112.4739,118.5845
206,112.5369,118.5845
207,112.2993,118.5845
208,112.1081,118.5845
209,112.1102,118.5845
210,112.2367,118.5845
211,112.1605,118.5845
212,112.4008,118.5845
213,112.3462,118.5845
214,112.1319,118.5845
215,108.8286,118.6159
216,101.9684,118.6159
217,90.4229,118.6159
218,89.7298,118.6159
219,87.6624,118.6159
220,91.2087,118.6159
221,93.4685,118.6159
222,87.7840,118.6159
223,92.5064,118.6159
224,92.4423,118.6159
225,92.4412,118.6159
226,92.4283,118.6159
227,92.4293,118.6159
228,92.4327,118.6159
229,92.4327,118.6159
230,92.4327,118.6159
231,92.4336,118.6159
232,92.4336,118.6159
233,92.4915,118.6159
234,92.4513,118.6159
235,92.4911,118.6159
236,92.4911,118.6159
237,92.4911,118.6159
238,92.4911,118.6159
239,92.4911,118.6159
240,92.4896,118.6159
241,92.5953,118.6159
242,92.6430,118.6159
243,92.6215,118.6159
244,92.6215,118.6159
245,92.6090,118.6159
246,92.6230,118.6159
247,92.6230,118.6159
248,92.6230,118.6159
249,92.6230,118.6159
250,92.6230,118.6159
251,92.6230,118.6159
252,92.5919,118.6159
253,92.5919,118.6159
254,92.5919,118.6159
255,92.5919,118.6159
256,92.5919,118.6159
257,92.5919,118.6159
258,92.5882,118.6159
259,92.5920,118.6159
260,92.5920,118.6159
261,92.6180,118.6159
262,92.6180,118.6159
263,92.5356,118.6159
264,92.4549,118.6159
265,92.4549,118.6159
266,92.4549,118.6159
267,92.4549,118.6159
268,92.4549,118.6159
269,92.2785,118.6159
270,92.2785,118.6159
271,92.2785,118.6159
272,92.2664,118.6159
273,92.4911,118.6159
274,92.5232,118.6159
275,92.8220,118.6159
276,92.8259,118.6159
277,92.8259,118.6159
278,92.7622,118.6159
279,92.7894,118.6159
280,92.7839,118.6159
281,92.7775,118.6159
282,92.7752,118.6159
283,92.7752,118.6159
284,92.7392,118.6159
285,92.7358,118.6159
286,92.7378,118.6159
287,92.7359,118.6159
288,92.7359,118.6159
289,92.7391,118.6159
290,92.7423,118.6159
291,92.7423,118.6159
292,92.7423,118.6159
293,92.7423,118.6159
294,92.7520,118.6159
295,92.7520,118.6159
296,92.7520,118.6159
297,92.8479,118.6159
298,92.8479,118.6159
299,92.8479,118.6159
300,92.8479,118.6159
301,92.8479,118.6159
302,92.8479,118.6159
303,92.8479,118.6159
304,92.8479,118.6159
305,92.8479,118.6159
306,92.7522,118.6159
307,92.7522,118.6159
308,92.7522,118.6159
309,92.7522,118.6159
310,92.7522,118.6159
311,92.7522,118.6159
312,92.7522,118.6159
313,92.7522,118.6159
314,92.7522,118.6159
315,92.7522,118.6159
316,92.7522,118.6159
317,92.7522,118.6159
318,92.7522,118.6159
319,92.7522,118.6159
320,92.7522,118.6159
321,92.7522,118.6159
322,92.7522,118.6159
323,92.7522,118.6159
324,92.7522,118.6159
325,92.7522,118.6159
326,92.7522,118.6159
327,92.8122,118.6159
328,92.8090,118.6159
329,92.8090,118.6159
330,92.8000,118.6159
331,92.8000,118.6159
332,92.8000,118.6159
333,92.8091,118.6159
334,92.8091,118.6159
335,92.8091,118.6159
336,92.8091,118.6159
337,92.8091,118.6159
338,92.7660,118.6159
339,92.7229,118.6159
340,92.7229,118.6159
341,92.7229,118.6159
342,92.7229,118.6159
343,92.7229,118.6159
344,92.6424,118.6159
345,92.5619,118.6159
346,92.5619,118.6159
347,92.5619,118.6159
348,92.5619,118.6159
349,92.5619,118.6159
350,92.5619,118.6159
