Generation,Avg_Scalar_Fitness,Max_Scalar_Fitness
0,5.2258,87.6145
1,24.1849,95.1094
2,29.8091,95.1094
3,35.3239,95.7112
4,50.2775,95.7112
5,57.5796,95.7112
6,64.4469,95.7112
7,71.4874,95.7112
8,75.4986,95.7112
9,85.2621,95.7131
10,80.7634,95.7131
11,82.1822,95.7131
12,77.7471,95.7131
13,77.0349,95.7131
14,74.8845,95.7131
15,69.5367,95.7131
16,59.8152,95.7131
17,65.4384,95.7131
18,77.4527,95.7131
19,76.5508,95.7131
20,76.6031,95.7131
21,76.6518,95.7131
22,76.1642,96.5080
23,76.4867,96.5080
24,77.4170,96.5080
25,78.7094,96.5080
26,81.1344,96.8908
27,84.2638,96.8908
28,88.1322,96.8908
29,87.9731,96.8908
30,87.9413,96.8908
31,87.8941,96.8908
32,87.9410,96.8908
33,87.9425,96.8908
34,87.9814,96.8908
35,87.9758,96.8908
36,87.9844,96.8908
37,88.0804,96.8908
38,87.8589,96.8908
39,87.7437,96.8908
40,87.6545,96.8908
41,87.7077,96.9152
42,87.7772,96.9152
43,87.5040,96.9152
44,85.3212,96.9152
45,81.9251,96.9152
46,79.9828,96.9152
47,76.1682,96.9152
48,68.9584,97.2739
49,62.2406,97.2739
50,60.4654,97.2739
51,82.4145,97.2739
52,79.3564,97.2739
53,79.4160,97.2739
54,79.4793,97.2739
55,79.5037,97.2739
56,79.5124,97.2739
57,80.2791,97.2739
58,81.8247,97.2739
59,84.1937,97.2739
60,82.1322,97.2739
61,76.8899,97.2739
62,72.4420,97.4925
63,76.8428,97.4925
64,65.6995,97.5231
65,nan,nan
66,62.2957,97.8678
67,40.1388,97.8678
68,21.5034,97.8678
69,22.6048,97.8678
70,37.9865,97.8678
71,63.6110,97.8678
72,84.2021,97.8678
73,80.7912,97.8678
74,78.2760,97.8678
75,73.7499,97.8678
76,82.5654,97.8678
77,88.9228,97.8678
78,88.7879,97.8678
79,88.8580,97.8678
80,88.7069,97.8678
81,87.8581,97.8678
82,85.7861,97.8678
83,82.0322,97.8678
84,74.9311,97.8678
85,69.1468,97.8678
86,62.6598,97.8678
87,72.4400,97.8678
88,85.6298,97.8678
89,88.8835,97.8678
90,88.8344,97.8678
91,88.6871,97.8678
92,88.6149,97.8678
93,88.5666,97.8678
94,88.5504,97.8678
95,88.5433,97.8678
96,88.4385,97.8678
97,86.7814,97.8678
98,84.3929,97.8678
99,81.0442,97.9912
100,75.0375,97.9912
101,73.2872,97.9912
102,72.4009,98.6943
103,75.3174,98.6943
104,82.5219,98.6943
105,80.6667,98.6943
