Enemy 1,Enemy 2,Enemy 3,Enemy 4,Enemy 5,Enemy 6,Enemy 7,Enemy 8
-70.0,-80.0,-90.0,-90.0,20.80000000000024,-100,-100,-90.0
-100,-70.0,-90.0,-90.0,-13.599999999999767,-100,-100,-100
-40.0,-100,-90.0,-80.0,41.20000000000029,-100,-90.0,-90.0
-80.0,-50.0,-40.0,-80.0,-10.0,-100,-100,-90.0
-70.0,-40.0,-80.0,-80.0,16.000000000000227,-100,-40.0,-80.0
-90.0,-70.0,-90.0,-80.0,9.400000000000231,-100,-70.0,-90.0
-80.0,-70.0,-90.0,-80.0,-21.19999999999977,-90.0,-100,-100
-60.0,-80.0,-40.0,-90.0,-9.799999999999763,-100,-70.0,-70.0
-80.0,-70.0,-90.0,-90.0,34.00000000000027,-100,-70.0,-80.0
-80.0,-80.0,-50.0,-70.0,15.000000000000249,-100,-80.0,-70.0
