Generation,Avg_Scalar_Fitness,Max_Scalar_Fitness
0,nan,nan
1,nan,nan
2,45.2257,77.9164
3,55.3846,80.9956
4,57.6520,80.9956
5,59.3096,80.9956
6,65.2687,80.9956
7,65.7893,80.9956
8,64.0502,80.9956
9,55.7444,81.5175
10,51.5629,84.7788
11,34.1970,84.7788
12,39.5779,84.7788
13,58.0098,84.7788
14,75.4280,84.7788
15,70.8367,89.5877
16,67.2877,89.5877
17,67.7852,89.5877
18,68.3875,89.5877
19,68.3546,89.5877
20,68.3098,89.5877
21,68.2861,89.5877
22,68.0194,89.5877
23,68.1045,89.5877
24,68.2450,89.5877
25,68.1107,89.5877
26,66.8854,89.5877
27,67.2893,89.5877
28,68.3476,89.5877
29,70.7398,89.5877
30,72.4340,89.5877
31,73.2436,92.3321
32,71.3701,92.3321
33,69.0148,92.3321
34,85.8399,92.7758
35,85.5283,92.7758
36,85.2021,92.7758
37,83.3615,95.8749
38,78.6026,95.8749
39,73.3002,95.8749
40,70.0981,95.8749
41,66.8258,95.8749
42,64.0134,95.8749
43,52.7405,95.8749
44,37.9105,95.8749
45,41.4674,95.8749
46,47.8424,95.8914
47,59.5738,95.8914
48,76.4002,95.8914
49,77.2203,95.8914
50,77.9346,95.8914
51,84.1970,95.8914
52,89.4716,95.8914
53,89.9256,95.8914
54,89.9132,95.8914
55,90.0774,95.8914
56,90.1030,95.8914
57,89.9119,95.8914
58,90.0356,96.9520
59,89.9775,96.9520
60,90.0543,96.9520
61,90.7955,96.9520
62,90.7309,98.4070
63,90.6995,98.4070
64,90.9759,98.4070
65,90.5149,98.4070
66,89.2688,98.4070
67,87.0792,98.4070
68,83.4260,98.4070
69,80.5957,98.4070
70,77.8811,98.4070
71,75.6292,98.4070
72,76.8535,98.4075
73,78.3468,98.4075
74,81.8141,98.4075
75,80.0156,98.4075
76,80.1002,98.4075
77,83.0847,98.4075
78,86.0098,98.4884
79,91.7927,98.4884
80,91.7646,98.4884
81,91.7362,98.4884
82,91.6690,98.4884
83,91.4145,98.4884
84,91.4538,100.5265
85,91.4276,100.5265
86,91.4082,100.5265
87,91.3661,100.5265
88,91.3906,100.5265
89,91.4432,100.5265
90,90.4564,100.5265
91,89.3320,100.5265
92,87.2591,100.5265
93,83.5571,100.5265
94,80.3708,100.5273
95,78.9719,100.5273
96,75.2068,100.5273
97,81.2736,100.5273
98,87.0319,100.5273
99,87.9748,100.5273
100,88.1746,100.5273
101,87.8239,100.5273
102,87.5190,100.5273
103,86.7111,100.6295
104,85.5144,100.6295
105,84.4275,100.6295
106,86.4819,100.6295
107,87.1319,100.6295
108,92.7931,100.6295
109,87.2369,100.6295
110,87.3113,100.6295
111,87.4249,100.6295
112,87.4023,100.6295
113,87.3906,100.6295
114,87.4475,100.6295
115,87.7665,100.6295
116,88.4576,100.6295
117,89.4704,100.6295
118,86.9305,100.6295
119,88.4038,100.6295
120,90.1111,100.6295
121,83.6357,100.6295
122,79.5697,100.6295
123,79.4532,100.6295
124,79.2261,100.6295
125,79.3028,100.6295
126,79.3784,100.6295
127,79.3017,100.6295
128,79.5346,100.6295
129,80.5385,100.6295
130,83.2737,100.6295
131,88.5242,100.6295
132,93.0596,100.6295
133,94.2249,100.6295
134,95.6576,100.6295
135,95.7957,100.6295
136,94.7472,100.6295
137,94.8840,100.6295
138,94.8903,100.6295
139,94.5404,100.6295
140,93.9679,100.6295
141,92.9827,100.6295
142,91.8676,100.6295
143,89.2592,100.6295
144,93.9815,100.6295
145,94.0396,100.6295
146,97.6540,100.6295
147,99.3197,100.6295
148,99.8218,100.6295
149,99.7673,100.6295
150,99.7445,100.6295
151,99.7405,101.5663
152,98.9461,101.5663
153,97.6817,101.5663
154,95.5484,101.5663
155,95.3700,101.5663
156,94.7687,101.5663
157,91.6200,101.5663
158,93.4114,101.5663
159,91.2285,101.5663
160,89.9216,101.5663
161,89.9058,101.5663
162,89.9058,101.5663
163,89.9141,101.5663
164,89.9405,101.5663
165,89.9405,101.5663
166,89.9405,101.5663
167,89.9104,101.5663
168,89.8803,101.5663
169,89.8803,101.5663
170,89.8803,101.5663
171,89.8803,101.5663
172,89.8803,101.5663
173,89.8611,102.2540
174,89.8934,102.3161
175,89.9578,102.3161
176,89.9578,102.3161
177,89.9578,102.3161
178,89.9578,102.3161
