Generation,Avg_Scalar_Fitness,Max_Scalar_Fitness
0,7.2772,92.8620
1,29.0753,92.8620
2,35.8863,92.8620
3,nan,nan
4,nan,nan
5,66.2472,94.5375
6,69.0739,94.5375
7,72.9179,94.5375
8,60.3034,94.5375
9,48.3321,94.5375
10,26.1592,94.5375
11,52.0625,94.5375
12,63.0014,94.5375
13,63.9450,94.5375
14,64.0168,94.5375
15,64.9165,95.4289
16,62.5930,95.4289
17,78.5924,95.4289
18,73.5138,95.4289
19,65.7087,95.4289
20,55.9297,95.4289
21,40.7805,95.4289
22,57.6584,95.4289
23,70.1408,95.4289
24,73.7305,95.4289
25,79.9842,95.4289
26,81.4053,95.4289
27,75.9114,95.4289
28,67.1046,95.5967
29,65.8698,95.8964
30,64.1971,95.8964
31,55.1965,95.8964
32,59.0266,95.8964
33,42.8693,95.8964
34,32.0054,95.8964
35,51.3061,95.8964
36,22.0520,95.8964
37,15.5725,95.8964
38,17.2424,95.8964
39,18.3028,95.8964
40,15.9139,95.8964
41,15.8232,95.8964
42,16.0486,95.8964
43,26.2179,95.8964
44,46.8819,95.8964
45,79.1341,96.1596
46,84.1048,96.1596
47,81.2620,96.1596
48,75.2376,96.1596
49,76.8985,97.6107
50,68.1849,97.6107
51,79.8751,97.6107
52,83.3571,97.6107
53,82.9965,97.6107
54,83.0008,97.6107
55,83.1306,97.6107
56,82.8841,98.4453
57,82.7404,98.4453
58,82.8481,98.4453
59,82.6731,98.4453
60,82.0307,98.4453
61,81.0373,98.4453
62,80.6960,98.4453
63,72.9202,98.4453
64,70.2972,98.4453
65,68.8881,98.4453
66,92.6969,98.4453
67,92.4449,98.4453
68,92.4606,98.4453
69,92.2791,98.4453
70,92.1051,98.4453
71,89.6820,98.4453
72,85.3669,98.4453
73,77.6340,98.4453
74,66.8196,98.4453
75,73.8863,98.4453
76,71.6838,99.6308
77,68.0935,99.6308
78,53.9919,99.6308
79,79.2512,99.6308
80,84.2572,99.6308
81,83.3545,99.6308
82,83.1731,99.6308
83,74.9538,99.6308
84,69.0297,99.6308
85,71.5323,99.6308
86,70.0596,99.6308
87,72.6534,99.6308
88,72.7128,99.6308
89,72.8306,99.6308
90,73.0599,99.6308
91,72.0085,100.8580
92,72.0744,100.8580
93,72.4151,100.8580
94,72.5489,100.8580
95,72.6690,100.8580
96,72.6990,100.8580
97,72.8334,100.8580
98,72.8876,100.8580
99,72.9703,100.8580
100,72.7244,100.8580
101,72.9849,100.8580
102,73.5541,100.8580
103,73.5910,100.8580
104,73.7548,100.8580
105,74.0037,100.8580
106,74.2540,100.8580
107,73.8520,100.8580
108,74.0251,100.8580
109,73.6790,100.8580
110,73.8151,100.8580
111,75.4773,100.8580
112,77.4076,100.8580
113,81.0906,100.8580
