Enemy 1,Enemy 2,Enemy 3,Enemy 4,Enemy 5,Enemy 6,Enemy 7,Enemy 8
-90.0,-90.0,-70.0,-80.0,-30.0,-100,-100,-100
-80.0,-50.0,-50.0,-80.0,6.400000000000233,-100,-90.0,-100
-80.0,-70.0,-60.0,-90.0,-20.0,-90.0,-100,-90.0
-90.0,-90.0,-90.0,-90.0,-1.799999999999768,-100,-80.0,-90.0
-90.0,-50.0,-90.0,-90.0,59.20000000000033,-100,-80.0,-90.0
-80.0,-30.0,-60.0,-90.0,6.600000000000229,-100,-40.0,-80.0
-80.0,-90.0,-90.0,-90.0,-40.999999999999766,-100,-80.0,-100
-80.0,-90.0,-90.0,-90.0,54.40000000000032,-100,-30.0,-90.0
-90.0,-70.0,-60.0,-80.0,38.80000000000028,-100,-80.0,-100
-90.0,-70.0,-80.0,-90.0,-7.5999999999997705,-90.0,-80.0,-100
