Generation,Avg_Scalar_Fitness,Max_Scalar_Fitness,Avg_Defeated_Enemies,Max_Defeated_Enemies,Avg_Gain,Max_Gain,Avg_Life,Max_Life,Avg_Time,Min_Time,Euclidean_Diversity,Std_Dev
0,-13.177850541417502,217.39488805178604,0.0825,1,-22.337613895237656,74.85131355230499,3.385500000000006,70.0,18613716179.510006,684868798.9999985,13.304941560092804,0.5774477672168306
1,21.65190538705674,217.39488805178604,0.165,1,-44.803938809990335,74.85131355230499,7.123000000000008,86.0,10379582662.087496,684868798.9999985,13.269938325113763,0.5757116352976519
2,72.25061102570186,217.39488805178604,0.3325,1,-73.98153935974862,74.85131355230499,14.089500000000012,86.0,9896209596.889996,546250318.9999996,13.259331327185516,0.5749796786862742
3,116.56191501524951,218.34220292853695,0.6025,1,-84.83218404049943,74.85131355230499,25.088500000000007,100.0,9137607281.024998,546250318.9999996,13.241708683642416,0.5736001575471995
4,140.7898771837951,220.76326829419574,0.8525,1,-72.75952712584686,74.85131355230499,36.997,100.0,5009867083.8274975,546250318.9999996,13.136958762011744,0.5682634032018651
5,131.79137884223638,220.76326829419574,0.8025,1,-72.93313117305779,36.98419218696051,33.78,100.0,3331357685.444998,463833215.0000004,13.073593103015916,0.5620240049727235
0,-13.177850541417502,217.39488805178604,0.0825,1,-22.337613895237656,74.85131355230499,3.385500000000006,70.0,18613716179.510006,684868798.9999985,13.304941560092804,0.5774477672168306
1,21.65190538705674,217.39488805178604,0.165,1,-44.803938809990335,74.85131355230499,7.123000000000008,86.0,10379582662.087496,684868798.9999985,13.269938325113763,0.5757116352976519
2,72.25061102570186,217.39488805178604,0.3325,1,-73.98153935974862,74.85131355230499,14.089500000000012,86.0,9896209596.889996,546250318.9999996,13.259331327185516,0.5749796786862742
3,116.56191501524951,218.34220292853695,0.6025,1,-84.83218404049943,74.85131355230499,25.088500000000007,100.0,9137607281.024998,546250318.9999996,13.241708683642416,0.5736001575471995
4,140.7898771837951,220.76326829419574,0.8525,1,-72.75952712584686,74.85131355230499,36.997,100.0,5009867083.8274975,546250318.9999996,13.136958762011744,0.5682634032018651
5,131.79137884223638,220.76326829419574,0.8025,1,-72.93313117305779,36.98419218696051,33.78,100.0,3331357685.444998,463833215.0000004,13.073593103015916,0.5620240049727235
6,168.7562700242171,220.76326829419574,0.845,1,-78.94651102169954,36.98419218696051,44.445,100.0,4839265948.364996,463833215.0000004,12.987147670607927,0.5509200049249877
7,177.44204284857776,220.76326829419574,0.89,1,-82.63122682738366,36.98419218696051,46.2,100.0,5782107031.867493,463833215.0000004,13.146359195330426,0.5441194599705678
8,196.09346224599875,229.4216057647381,0.955,1,-41.0147267639215,36.98419218696051,66.185,100.0,3358394885.535,463833215.0000004,12.84698503832425,0.5043029637101581
9,207.96722379253075,244.515762984843,0.98,1,-48.86227601865042,36.98419218696051,67.62,100.0,3471871065.132501,463833215.0000004,12.293121727546621,0.41125653245133187
10,211.6474903222645,244.515762984843,0.98,1,-64.93355041966471,36.98419218696051,63.59,100.0,3932966951.8325024,463833215.0000004,9.974146748049193,0.26611342114692527
