Generation	Island_0_Mean_Fitness	Island_0_Max_Fitness	Island_0_Min_Fitness	Island_0_Std_Fitness	Island_1_Mean_Fitness	Island_1_Max_Fitness	Island_1_Min_Fitness	Island_1_Std_Fitness	Island_2_Mean_Fitness	Island_2_Max_Fitness	Island_2_Min_Fitness	Island_2_Std_Fitness	Island_3_Mean_Fitness	Island_3_Max_Fitness	Island_3_Min_Fitness	Island_3_Std_Fitness
0	-5.2204	0.9378	-8.1904	2.1625	-5.5898	4.8479	-11.8029	2.7518	-4.1098	16.4319	-8.1904	5.2428	-0.1399	67.8694	-8.3619	16.2501
1	-3.3954	7.0172	-6.0473	3.6328	-3.8944	8.5790	-13.6514	5.3107	1.7652	20.1009	-9.2888	10.7143	5.1681	41.5641	-7.0259	12.8603
2	0.4036	20.8533	-8.1814	7.1351	-0.9255	14.2656	-8.0422	8.0555	9.7284	24.4494	-8.3994	10.6648	16.7563	55.9611	-8.9686	16.9216
3	4.1962	20.8561	-5.7024	6.2846	2.9881	20.2802	-7.3394	10.0475	18.6697	28.1387	13.3674	3.8426	23.3936	43.0763	4.9259	11.4480
4	6.6869	16.4319	0.9342	2.8472	6.2956	25.0434	-8.0655	12.5466	21.1214	28.1387	6.6131	6.5829	29.5218	47.6097	-0.8006	11.0033
5	11.8865	53.7302	6.5511	13.2999	10.8200	20.6271	-4.9504	8.5650	25.3276	28.1387	20.6271	2.0975	33.8101	53.7302	20.9420	8.5581
6	11.7248	41.5641	0.9378	9.8846	14.3491	20.6271	4.4877	5.7451	24.0969	28.1387	14.2656	4.3572	36.6814	74.8392	24.4494	11.3701
7	18.5752	41.4091	7.0172	10.9029	18.2287	23.1171	8.6210	3.5933	23.8926	28.1387	-0.6499	6.2939	32.9659	77.4799	-8.1904	16.1307
8	21.8973	42.9142	3.1522	10.8950	17.3832	23.1056	6.9245	4.6359	26.7041	28.1387	24.4494	1.2883	31.8314	70.0997	-0.8016	15.2183
9	25.8269	49.5430	10.4733	10.7697	19.1052	26.7594	-6.8266	7.2995	26.0278	28.6890	20.8336	1.8259	25.0395	62.9514	-8.1904	17.8187
