{'gen': 0, 'nevals': 50, 'avg': array([248.20862937,   0.34793939, 183.0463996 ]), 'std': array([86.91497429,  1.5313433 , 91.56650871]), 'min': array([-12.73618495,  -0.        ,  -6.19959914]), 'max': array([300.        ,   9.66498312, 432.20973148])}
{'gen': 1, 'nevals': 42, 'avg': array([201.05441164,   1.09683751, 122.55045101]), 'std': array([102.29950106,   2.77981456,  96.34685984]), 'min': array([-12.73618495,  -0.        , -56.85435344]), 'max': array([300.        ,  11.59797975, 294.13970208])}
{'gen': 2, 'nevals': 48, 'avg': array([139.2976928 ,   1.5945431 , 129.89626292]), 'std': array([110.13238544,   3.45368102, 103.81257939]), 'min': array([-24.85281374,  -6.31880921, -56.85435344]), 'max': array([300.        ,  11.59797975, 294.13970208])}
{'gen': 3, 'nevals': 45, 'avg': array([113.17468359,   1.59281766, 130.74128471]), 'std': array([105.8572309 ,   3.61852691,  94.45636338]), 'min': array([-28.99494937,  -8.37054329, -56.85435344]), 'max': array([300.        ,  10.41056753, 252.95301975])}
{'gen': 4, 'nevals': 45, 'avg': array([132.19444319,   2.17764565,  81.4288119 ]), 'std': array([127.56027367,   4.06815056,  77.64801779]), 'min': array([-28.99494937,  -8.37054329, -56.85435344]), 'max': array([300.        ,  10.41056753, 252.95301975])}
{'gen': 5, 'nevals': 44, 'avg': array([138.88244347,   2.52136777,  66.33794224]), 'std': array([132.47207767,   3.67748045,  69.22723159]), 'min': array([-37.27922061,  -8.37054329, -56.85435344]), 'max': array([300.        ,  10.41056753, 201.0399398 ])}
{'gen': 6, 'nevals': 50, 'avg': array([173.43876097,   2.15962126,  48.69933344]), 'std': array([126.35110506,   3.88098129,  66.84159068]), 'min': array([-37.27922061,  -8.37054329, -56.85435344]), 'max': array([300.        ,  10.41056753, 201.0399398 ])}
{'gen': 7, 'nevals': 45, 'avg': array([91.7745528 ,  2.22140857, 97.2062504 ]), 'std': array([99.40957071,  4.27723322, 72.99750483]), 'min': array([-37.27922061,  -8.37054329, -65.765934  ]), 'max': array([300.        ,  10.21726787, 274.17757604])}
{'gen': 8, 'nevals': 42, 'avg': array([92.08254953,  0.98551275, 86.43738153]), 'std': array([96.40292171,  4.5162038 , 54.32765056]), 'min': array([-37.27922061,  -8.37054329, -65.765934  ]), 'max': array([300.        ,  10.21726787, 173.56242316])}
{'gen': 9, 'nevals': 48, 'avg': array([82.94212674,  0.25103729, 90.46174056]), 'std': array([97.46714778,  4.82309834, 57.65812023]), 'min': array([-37.27922061,  -8.37054329, -65.765934  ]), 'max': array([300.        ,  10.21726787, 195.71943572])}
{'gen': 10, 'nevals': 47, 'avg': array([60.17124768, -0.2704802 , 95.47459373]), 'std': array([90.28298608,  5.47013654, 57.55401492]), 'min': array([-37.27922061,  -8.37054329, -65.765934  ]), 'max': array([300.        ,  10.21726787, 195.71943572])}
