{'gen': 0, 'nevals': 200, 'avg': array([ 78.98045318,   0.46550163, 170.36844092]), 'std': array([34.98041223,  1.67744287, 88.22218402]), 'min': array([ -9.66498312,  -0.        , -54.58212155]), 'max': array([100.        ,   9.66498312, 349.71806245])}
{'gen': 1, 'nevals': 174, 'avg': array([ 55.85941562,   1.04650519, 119.41462365]), 'std': array([39.50673591,  2.33069375, 91.12753769]), 'min': array([ -9.66498312,  -0.        , -54.58212155]), 'max': array([100.        ,   9.66498312, 349.71806245])}
{'gen': 2, 'nevals': 184, 'avg': array([ 37.42845994,   1.86863454, 114.62988796]), 'std': array([39.58595848,  3.05015547, 82.76069396]), 'min': array([ -11.045695  ,   -7.07373825, -107.64812899]), 'max': array([100.        ,  10.49341025, 256.63616988])}
{'gen': 3, 'nevals': 186, 'avg': array([ 24.8784871 ,   2.39099709, 115.21364834]), 'std': array([36.69001228,  3.16982727, 77.6751594 ]), 'min': array([ -11.045695  ,   -7.07373825, -107.64812899]), 'max': array([100.        ,   9.66498312, 249.86231101])}
{'gen': 4, 'nevals': 184, 'avg': array([33.82094654,  1.51861433, 95.24459853]), 'std': array([38.99994621,  2.69942736, 81.17253131]), 'min': array([ -12.42640687,   -7.07373825, -107.64812899]), 'max': array([100.        ,  10.49341025, 238.76135642])}
{'gen': 5, 'nevals': 182, 'avg': array([37.47527971,  1.27241411, 77.72733646]), 'std': array([41.48259433,  2.68596432, 87.06949138]), 'min': array([ -12.42640687,   -7.07373825, -112.81489063]), 'max': array([100.        ,  10.49341025, 223.22766539])}
{'gen': 6, 'nevals': 196, 'avg': array([28.19388046,  1.58221125, 92.13632105]), 'std': array([35.77519353,  3.18712587, 73.5232953 ]), 'min': array([ -12.42640687,   -7.07373825, -112.81489063]), 'max': array([100.        ,  11.045695  , 199.57054019])}
{'gen': 7, 'nevals': 181, 'avg': array([32.47511563,  1.50083526, 79.20535109]), 'std': array([36.26994205,  3.53870322, 72.34044771]), 'min': array([ -12.42640687,   -7.07373825, -112.81489063]), 'max': array([100.        ,  10.49341025, 197.46197113])}
{'gen': 8, 'nevals': 184, 'avg': array([22.80337949,  2.23625526, 91.13365438]), 'std': array([35.60329066,  4.18097858, 79.20685484]), 'min': array([ -12.42640687,   -7.07373825, -112.81489063]), 'max': array([100.        ,  10.49341025, 197.46197113])}
{'gen': 9, 'nevals': 181, 'avg': array([15.65429928,  2.5595846 , 95.13946556]), 'std': array([32.9418357 ,  5.05348187, 84.11265895]), 'min': array([ -12.42640687,   -7.07373825, -112.81489063]), 'max': array([100.        ,  10.49341025, 205.58732476])}
{'gen': 10, 'nevals': 191, 'avg': array([16.98904244,  0.12732471, 83.72727458]), 'std': array([31.27445906,  3.95964736, 87.75204122]), 'min': array([ -12.42640687,   -7.07373825, -112.81489063]), 'max': array([100.        ,  10.49341025, 206.96406495])}
{'gen': 11, 'nevals': 181, 'avg': array([22.14092356,  1.25440682, 60.40454399]), 'std': array([32.48714334,  3.74863323, 93.29483492]), 'min': array([ -12.42640687,  -10.19946849, -112.81489063]), 'max': array([100.        ,  10.49341025, 197.46197113])}
{'gen': 12, 'nevals': 180, 'avg': array([29.27981011,  0.70802927, 34.79365567]), 'std': array([ 37.94323484,   3.41191357, 112.20225748]), 'min': array([ -12.42640687,  -10.19946849, -112.81489063]), 'max': array([100.        ,  10.49341025, 197.46197113])}
{'gen': 13, 'nevals': 182, 'avg': array([30.83363345,  0.24357435, 20.0282015 ]), 'std': array([ 37.77406117,   2.56170639, 117.05440539]), 'min': array([ -12.42640687,  -10.19946849, -117.62578492]), 'max': array([ 75.85786438,   9.66498312, 183.96950322])}
{'gen': 14, 'nevals': 186, 'avg': array([ 9.00673128, -0.30979678, 86.85052967]), 'std': array([29.94130293,  2.57214503, 94.36347106]), 'min': array([ -12.42640687,  -10.19946849, -117.62578492]), 'max': array([ 75.85786438,   9.66498312, 183.96950322])}
{'gen': 15, 'nevals': 176, 'avg': array([ -3.35309935,  -0.9920832 , 117.59617407]), 'std': array([17.65623527,  2.47960366, 59.65217153]), 'min': array([ -12.42640687,  -10.19946849, -117.62578492]), 'max': array([ 75.85786438,   9.66498312, 169.60130491])}
{'gen': 16, 'nevals': 183, 'avg': array([  0.23848369,  -0.28744589, 111.26737072]), 'std': array([17.94112286,  2.79387237, 62.4185893 ]), 'min': array([ -12.42640687,  -15.03999767, -117.62578492]), 'max': array([ 75.85786438,   9.66498312, 173.80151521])}
{'gen': 17, 'nevals': 178, 'avg': array([ 6.93358437,  0.6257536 , 95.53304656]), 'std': array([19.56436667,  2.72275714, 75.21080699]), 'min': array([ -12.42640687,  -15.03999767, -117.62578492]), 'max': array([ 75.85786438,   9.66498312, 171.5875757 ])}
{'gen': 18, 'nevals': 195, 'avg': array([  1.64087515,   0.47887544, 114.05774698]), 'std': array([12.76871655,  3.06272117, 58.95638269]), 'min': array([ -12.42640687,  -15.03999767, -117.62578492]), 'max': array([ 75.85786438,   9.66498312, 210.16405091])}
{'gen': 19, 'nevals': 182, 'avg': array([  2.92349747,   0.98377106, 107.76077856]), 'std': array([13.38425751,  2.43816418, 62.26037079]), 'min': array([ -12.42640687,  -15.03999767, -117.62578492]), 'max': array([ 75.85786438,   9.66498312, 171.5875757 ])}
{'gen': 20, 'nevals': 174, 'avg': array([  2.62967042,   0.74404794, 107.25863798]), 'std': array([14.75138985,  2.35910757, 69.91228525]), 'min': array([ -12.42640687,  -15.03999767, -117.62578492]), 'max': array([ 75.85786438,   9.66498312, 171.5875757 ])}
