Enemy 1,Enemy 2,Enemy 3,Enemy 4,Enemy 5,Enemy 6,Enemy 7,Enemy 8
-90.0,-70.0,-80.0,-90.0,23.200000000000244,-100,-80.0,-100
-60.0,-70.0,-90.0,-90.0,22.00000000000024,-100,-80.0,-70.0
-80.0,-80.0,-90.0,-80.0,26.20000000000025,-100,-90.0,-80.0
-70.0,-70.0,-80.0,-80.0,-20.0,-100,-70.0,-100
-60.0,-60.0,-80.0,-90.0,-35.399999999999764,-100,-70.0,-90.0
-80.0,-70.0,-70.0,-90.0,-17.199999999999765,-100,-90.0,-90.0
-60.0,-70.0,-80.0,-80.0,48.400000000000304,-100,-80.0,-100
-80.0,-40.0,-80.0,-90.0,-8.19999999999977,-90.0,-90.0,-90.0
-70.0,-80.0,-90.0,-80.0,-1.1999999999997684,-100,-80.0,-70.0
-80.0,-80.0,-100,-90.0,-54.19999999999977,-100,-100,-90.0
