Enemy 1,Enemy 2,Enemy 3,Enemy 4,Enemy 5,Enemy 6,Enemy 7,Enemy 8
-90.0,-70.0,-70.0,-70.0,38.20000000000028,-100,-40.0,-100
-80.0,-30.0,-50.0,-100,-12.399999999999768,-100,-80.0,-90.0
-80.0,-90.0,-80.0,-90.0,45.4000000000003,-100,-80.0,-90.0
-90.0,-90.0,-80.0,-80.0,-50.59999999999977,-100,-100,-90.0
-70.0,-70.0,-90.0,-90.0,-35.999999999999766,-100,-90.0,-90.0
-90.0,-70.0,-50.0,-90.0,32.80000000000027,-100,-80.0,-90.0
-100,-60.0,-90.0,-80.0,41.80000000000029,-100,-80.0,-90.0
-90.0,-50.0,-80.0,-80.0,-37.59999999999977,-100,-70.0,-90.0
-80.0,-70.0,-80.0,-80.0,9.000000000000234,-90.0,-60.0,-90.0
-70.0,-70.0,-60.0,-80.0,-2.9999999999997673,-100,-60.0,-90.0
